TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_NAME,COLLATION_NAME,COLUMN_TYPE,COLUMN_KEY,EXTRA,PRIVILEGES,COLUMN_COMMENT,GENERATION_EXPRESSION,SRS_ID
def,stumanager_1,course,cno,1,,NO,varchar,255,765,NULL,NULL,NULL,utf8,utf8_general_ci,varchar(255),PRI,,"select,insert,update,references",,,NULL
def,stumanager_1,course,cname,2,NULL,YES,varchar,255,765,NULL,NULL,NULL,utf8,utf8_general_ci,varchar(255),MUL,,"select,insert,update,references",,,NULL
def,stumanager_1,course,credit,3,NULL,YES,int,NULL,NULL,10,0,NULL,NULL,NULL,int,,,"select,insert,update,references",,,NULL
